Primary Key,Participant ID,Treatment Group,Timestamp,Question Label,Before/After Exposure,Error present,Text Explanation ,Actual Chart Error,Error Identified (Coder 1),Error Identified (Coder 2),Coder Mismatch?,Consensus Code
1380,1863,Text,,TQ 5 Color,Post,,There are errors in construction,Color,P,0,X,0
1381,547,Text,,TQ 5 Color,Post,messy,It's well constructed,Color,1,1,,1
1394,1551,Text,,TQ 5 Color,Post,,There are errors in construction,Color,1,1,,1
1396,2823,Text,,TQ 5 Color,Post,Too messy to read this clearly.,There are errors in construction,Color,1,1,,1
1403,3022,Text,,TQ 5 Color,Post,Colors too similar,There are errors in construction,Color,1,1,,1
1432,1912,Text,,TQ 6 Color,Post,There is no key,It's well constructed,Color,0,0,,0
1442,1863,Text,,TQ 6 Color,Post,the axis are not labelled,There are errors in construction,Color,0,0,,0
1443,547,Text,,TQ 6 Color,Post,,There are errors in construction,Color,1,1,,1
1456,1551,Text,,TQ 6 Color,Post,unclear what graph represents as poorly labelled axis ,It's well constructed,Color,0,0,,0
1458,2823,Text,,TQ 6 Color,Post,Very limited information but looks clear enough,It's well constructed,Color,1,1,,1
1465,3022,Text,,TQ 6 Color,Post,There are no legends,There are errors in construction,Color,0,0,,0
1494,1912,Text,,TQ 7 Size,Post,There is no graph,There are errors in construction,Size Neg,0,0,,0
1504,1863,Text,,TQ 7 Size,Post,No legend on the graph to tell me what the colours stand for,There are errors in construction,Size Neg,0,0,,0
1505,547,Text,,TQ 7 Size,Post,,There are errors in construction,Size Neg,1,P,X,P
1518,1551,Text,,TQ 7 Size,Post,no legend ,There are errors in construction,Size Neg,1,P,X,P
1520,2823,Text,,TQ 7 Size,Post,,There are errors in construction,Size Neg,0,0,,0
1527,3022,Text,,TQ 7 Size,Post,no color legend,There are errors in construction,Size Neg,0,0,,0
1556,1912,Text,,TQ 8 Zero Axis,Post,Circles are a terrible choice as you can't distinguish between Europe and USA,There are errors in construction,Zero Axis,0,0,,0
1566,1863,Text,,TQ 8 Zero Axis,Post,,There are errors in construction,Zero Axis,0,0,,0
1567,547,Text,,TQ 8 Zero Axis,Post,unclear,It's well constructed,Zero Axis,0,0,,0
1580,1551,Text,,TQ 8 Zero Axis,Post,colours in legend are too similar ,There are errors in construction,Zero Axis,1,1,,1
1582,2823,Text,,TQ 8 Zero Axis,Post,two of the keys are too close in color.,There are errors in construction,Zero Axis,0,0,,0
1589,3022,Text,,TQ 8 Zero Axis,Post,colors too similar,There are errors in construction,Zero Axis,0,0,,0
1618,1912,Text,,TQ 9 Size,Post,Very difficult to interpret especially for a colourblind person,It's well constructed,Size Neg,0,0,,0
1628,1863,Text,,TQ 9 Size,Post,"You cannot read the information because of the lines, they are the messy",It's well constructed,Size Neg,0,0,,0
1629,547,Text,,TQ 9 Size,Post,,It's well constructed,Size Neg,P,P,,P
1642,1551,Text,,TQ 9 Size,Post,Too many data series data is unclear,There are errors in construction,Size Neg,1,1,,1
1644,2823,Text,,TQ 9 Size,Post,very messy hard to read,There are errors in construction,Size Neg,P,0,X,P
1651,3022,Text,,TQ 9 Size,Post,Colors too similar,There are errors in construction,Size Neg,1,P,X,1
1680,1912,Text,,TQ 10 Legend,Post,,There are errors in construction,Legend,1,1,,1
1690,1863,Text,,TQ 10 Legend,Post,,There are errors in construction,Legend,0,0,,0
1691,547,Text,,TQ 10 Legend,Post,,There are errors in construction,Legend,1,1,,1
1704,1551,Text,,TQ 10 Legend,Post,there are negative values for the encoding ,There are errors in construction,Legend,1,1,,1
1706,2823,Text,,TQ 10 Legend,Post,The legend goes negative and not in order of number,There are errors in construction,Legend,0,0,,0
1713,3022,Text,,TQ 10 Legend,Post,Negative power recorded,There are errors in construction,Legend,1,1,,1
1742,1912,Text,,TQ 11 Good,Post,It is difficult to interpret the size of the circles,It's well constructed,Good,1,1,,1
1752,1863,Text,,TQ 11 Good,Post,The graph is very varied in the size of the colums ,It's well constructed,Good,0,0,,0
1753,547,Text,,TQ 11 Good,Post,unclear,It's well constructed,Good,1,1,,1
1766,1551,Text,,TQ 11 Good,Post,Scale makes results unclear,There are errors in construction,Good,1,1,,1
1768,2823,Text,,TQ 11 Good,Post,Some of the dots are too small to see clearly,There are errors in construction,Good,1,1,,1
1775,3022,Text,,TQ 11 Good,Post,"Populations < 200,000,000 represented by too small dots. ",There are errors in construction,Good,0,0,,0
1804,1912,Text,,TQ 12 Rate,Post,,There are errors in construction,Rate,0,0,,0
1814,1863,Text,,TQ 12 Rate,Post,,There are errors in construction,Rate,0,0,,0
1815,547,Text,,TQ 12 Rate,Post,,It's well constructed,Rate,0,0,,0
1828,1551,Text,,TQ 12 Rate,Post,Negative values of length don't make sense ,There are errors in construction,Rate,0,0,,0
1830,2823,Text,,TQ 12 Rate,Post,negative values in the graph,It's well constructed,Rate,0,0,,0
1837,3022,Text,,TQ 12 Rate,Post,There are no legends with definitions. ,There are errors in construction,Rate,1,1,,1
1866,1912,Text,,TQ 13 Zero,Post,There is no key,It's well constructed,Zero Axis,0,0,,0
1876,1863,Text,,TQ 13 Zero,Post,There is no legend on here to say what the colours on the graph mean,It's well constructed,Zero Axis,0,0,,0
1877,547,Text,,TQ 13 Zero,Post,,It's well constructed,Zero Axis,0,0,,0
1890,1551,Text,,TQ 13 Zero,Post,No legend,There are errors in construction,Zero Axis,0,0,,0
1892,2823,Text,,TQ 13 Zero,Post,,It's well constructed,Zero Axis,0,0,,0
1899,3022,Text,,TQ 13 Zero,Post,no legend of colors,There are errors in construction,Zero Axis,0,0,,0
1928,1912,Text,,TQ 14 Legend,Post,,It's well constructed,Legend,1,1,,1
1938,1863,Text,,TQ 14 Legend,Post,,It's well constructed,Legend,0,0,,0
1939,547,Text,,TQ 14 Legend,Post,,It's well constructed,Legend,1,1,,1
1952,1551,Text,,TQ 14 Legend,Post,y axis increase at different rates ,There are errors in construction,Legend,1,P,X,P
1954,2823,Text,,TQ 14 Legend,Post,,There are errors in construction,Legend,0,0,,0
1961,3022,Text,,TQ 14 Legend,Post,different types of measure,There are errors in construction,Legend,1,1,,1
1990,1912,Text,,TQ 15 color,Post,,There are errors in construction,Color,1,1,,1
2000,1863,Text,,TQ 15 color,Post,,It's well constructed,Color,0,0,,0
2001,547,Text,,TQ 15 color,Post,,It's well constructed,Color,1,1,,1
2014,1551,Text,,TQ 15 color,Post,values in y axis change at different rates ,There are errors in construction,Color,1,1,,1
2016,2823,Text,,TQ 15 color,Post,The lines are too close together in the graph,It's well constructed,Color,1,1,,1
2023,3022,Text,,TQ 15 color,Post,Two separate data fields,There are errors in construction,Color,1,1,,1
2052,1912,Text,,TQ 16 Size,Post,There is no graph,There are errors in construction,Size Neg,0,0,,0
2062,1863,Text,,TQ 16 Size,Post,,There are errors in construction,Size Neg,0,0,,0
2063,547,Text,,TQ 16 Size,Post,,It's well constructed,Size Neg,0,0,,0
2076,1551,Text,,TQ 16 Size,Post,y axis doesn't start at 0,There are errors in construction,Size Neg,1,1,,1
2078,2823,Text,,TQ 16 Size,Post,,It's well constructed,Size Neg,0,0,,0
2085,3022,Text,,TQ 16 Size,Post,"Graph is ok, price of what?",It's well constructed,Size Neg,1,P,X,P
2114,1912,Text,,TQ 17 Rate,Post,There is no key,It's well constructed,Rate,0,0,,0
2124,1863,Text,,TQ 17 Rate,Post,There is no legend key for the graph,There are errors in construction,Rate,0,0,,0
2125,547,Text,,TQ 17 Rate,Post,,It's well constructed,Rate,0,0,,0
2138,1551,Text,,TQ 17 Rate,Post,No legend,There are errors in construction,Rate,1,1,,1
2140,2823,Text,,TQ 17 Rate,Post,,There are errors in construction,Rate,0,0,,0
2147,3022,Text,,TQ 17 Rate,Post,,There are errors in construction,Rate,1,1,,1
2176,1912,Text,,TQ 18 Rate,Post,,There are errors in construction,Rate,0,0,,0
2186,1863,Text,,TQ 18 Rate,Post,The 2 colours of green are too similar to tell them apart,It's well constructed,Rate,0,0,,0
2187,547,Text,,TQ 18 Rate,Post,,It's well constructed,Rate,0,0,,0
2200,1551,Text,,TQ 18 Rate,Post,Colours too similar for Amsterdam and Atlanta,It's well constructed,Rate,1,1,,1
2202,2823,Text,,TQ 18 Rate,Post,a couple of the lines are too close together in color,It's well constructed,Rate,0,0,,0
2209,3022,Text,,TQ 18 Rate,Post,Line colors too similar,There are errors in construction,Rate,1,1,,1
50,1552,Text,,PQ 1 Rate,Prior,TRUE,2019-11-26 13:55:48,Rate,0,0,,0
112,1552,Text,,PQ 2 Rate,Prior,R_3RflASTxnDWFZ0j,"I consent, begin the study",Rate,0,0,,0
174,1552,Text,,PQ 3 Good,Prior,5d456961810cac00011bbe28,It's well constructed,Good,1,1,,1
236,1552,Text,,PQ 4 GOOD,Prior,,It's well constructed,Good,1,1,,1
298,1552,Text,,PQ 5 Good,Prior,,It's well constructed,Good,1,1,,1
360,1552,Text,,PQ  6 Rate,Prior,,It's well constructed,Rate,0,0,,0
422,1552,Text,,PQ 7 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
484,1552,Text,,PQ 8 Zero,Prior,,There are errors in construction,Zero Axis,0,0,,0
546,1552,Text,,PQ 9 Zero,Prior,the line represented show a different set of values,There are errors in construction,Zero Axis,0,0,,0
608,1552,Text,,PQ 10 Legend,Prior,Senseless,It's well constructed,Legend,1,1,,1
670,1552,Text,,PQ 11 Legend,Prior,,It's well constructed,Legend,1,1,,1
732,1552,Text,,PQ 12 Legend,Prior,,It's poorly constructed,Legend,0,0,,0
794,1552,Text,,PQ 13 Size,Prior,Missing colors legend,There are errors in construction,Neg Size,0,0,,0
856,1552,Text,,PQ 14 Size,Prior,Colors legend of the different states is missing,There are errors in construction,Neg Size,0,0,,0
918,1552,Text,,PQ 15 Size,Prior,"Color distribution is senseless: it does not respect an y value or type of fruit,",It's well constructed,Neg Size,0,0,,0
980,1552,Text,,PQ 16 Color,Prior,,It's well constructed,Color,P,1,X,1
1042,1552,Text,,PQ 17 Color,Prior,,There are errors in construction,Color,0,0,,0
1104,1552,Text,,PQ 18 Color,Prior,the (0;0) point is should be common for both graphs,It's well constructed,Color,1,1,,1
1166,1552,Text,,TQ 1 Zero,Post,,,Zero Axis,1,1,,1
1228,1552,Text,,TQ 2 Good,Post,,,Good,0,0,,0
1290,1552,Text,,TQ 3 Good,Post,,It's well constructed,Good,1,1,,1
1352,1552,Text,,TQ 4 legend,Post,There are errors in construction,There are errors in construction,Legend,1,1,,1
1414,1552,Text,,TQ 5 Color,Post,difficult to choose among the colors,There are errors in construction,Color,1,1,,1
1476,1552,Text,,TQ 6 Color,Post,missing legend,There are errors in construction,Color,0,0,,0
1538,1552,Text,,TQ 7 Size,Post,,There are errors in construction,Size Neg,0,0,,0
1600,1552,Text,,TQ 8 Zero Axis,Post,color too much similar,It's well constructed,Zero Axis,0,0,,0
1662,1552,Text,,TQ 9 Size,Post,,There are errors in construction,Size Neg,0,0,,0
1724,1552,Text,,TQ 10 Legend,Post,negative value are misrepresented.,There are errors in construction,Legend,0,0,,0
1786,1552,Text,,TQ 11 Good,Post,the x scale is not uniform,There are errors in construction,Good,0,0,,0
1848,1552,Text,,TQ 12 Rate,Post,negative values are misrepresented,There are errors in construction,Rate,1,P,X,1
1910,1552,Text,,TQ 13 Zero,Post,there is no legend,It's well constructed,Zero Axis,1,1,,1
1972,1552,Text,,TQ 14 Legend,Post,,It's well constructed,Legend,0,0,,0
2034,1552,Text,,TQ 15 color,Post,,There are errors in construction,Color,1,1,,1
2096,1552,Text,,TQ 16 Size,Post,missing legend,There are errors in construction,Size Neg,0,0,,0
2158,1552,Text,,TQ 17 Rate,Post,Senseless,It's well constructed,Rate,0,0,,0
2220,1552,Text,,TQ 18 Rate,Post,,It's well constructed,Rate,0,0,,0
56,762,Text,,PQ 1 Rate,Prior,TRUE,2019-11-26 13:42:39,Rate,0,0,,0
118,762,Text,,PQ 2 Rate,Prior,R_2pW8Gh7Copeb2zn,"I consent, begin the study",Rate,0,0,,0
180,762,Text,,PQ 3 Good,Prior,5d5ef4b0cb2426001974ad74,It's well constructed,Good,0,0,,0
242,762,Text,,PQ 4 GOOD,Prior,,It's well constructed,Good,0,0,,0
304,762,Text,,PQ 5 Good,Prior,,There are errors in construction,Good,0,0,,0
366,762,Text,,PQ  6 Rate,Prior,It's difficult to understand,It's well constructed,Rate,0,0,,0
428,762,Text,,PQ 7 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
490,762,Text,,PQ 8 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
552,762,Text,,PQ 9 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
614,762,Text,,PQ 10 Legend,Prior,,It's well constructed,Legend,0,0,,0
676,762,Text,,PQ 11 Legend,Prior,,There are errors in construction,Legend,1,1,,1
738,762,Text,,PQ 12 Legend,Prior,Very dificult to understand,It's poorly constructed,Legend,0,0,,0
800,762,Text,,PQ 13 Size,Prior,It's difficult to understand,It's well constructed,Neg Size,0,0,,0
862,762,Text,,PQ 14 Size,Prior,,It's well constructed,Neg Size,0,0,,0
924,762,Text,,PQ 15 Size,Prior,,There are errors in construction,Neg Size,0,0,,0
986,762,Text,,PQ 16 Color,Prior,Don't understand,There are errors in construction,Color,1,1,,1
1048,762,Text,,PQ 17 Color,Prior,Missing infos,There are errors in construction,Color,0,0,,0
1110,762,Text,,PQ 18 Color,Prior,Dificult to read,It's well constructed,Color,0,0,,0
1172,762,Text,,TQ 1 Zero,Post,,,Zero Axis,0,0,,0
1234,762,Text,,TQ 2 Good,Post,,,Good,0,0,,0
1296,762,Text,,TQ 3 Good,Post,,It's well constructed,Good,0,0,,0
1358,762,Text,,TQ 4 legend,Post,There are errors in construction,There are errors in construction,Legend,1,1,,1
1420,762,Text,,TQ 5 Color,Post,Very dificult to see the infos,It's well constructed,Color,1,1,,1
1482,762,Text,,TQ 6 Color,Post,,There are errors in construction,Color,0,0,,0
1544,762,Text,,TQ 7 Size,Post,,It's well constructed,Size Neg,0,0,,0
1606,762,Text,,TQ 8 Zero Axis,Post,Don't understand the graph,It's well constructed,Zero Axis,0,0,,0
1668,762,Text,,TQ 9 Size,Post,,There are errors in construction,Size Neg,0,0,,0
1730,762,Text,,TQ 10 Legend,Post,Not understand,There are errors in construction,Legend,1,1,,1
1792,762,Text,,TQ 11 Good,Post,Very complicated,It's well constructed,Good,0,0,,0
1854,762,Text,,TQ 12 Rate,Post,,It's well constructed,Rate,0,0,,0
1916,762,Text,,TQ 13 Zero,Post,,It's well constructed,Zero Axis,0,0,,0
1978,762,Text,,TQ 14 Legend,Post,,It's well constructed,Legend,0,0,,0
2040,762,Text,,TQ 15 color,Post,,It's well constructed,Color,1,1,,1
2102,762,Text,,TQ 16 Size,Post,,It's well constructed,Size Neg,0,0,,0
2164,762,Text,,TQ 17 Rate,Post,,It's well constructed,Rate,P,1,X,P
#REF!,762,Text,,TQ 18 Rate,Post,,It's well constructed,Rate,P,1,X,1
1,1790,TextLint,,PQ 1 Rate,Prior,TRUE,2019-11-26 14:01:32,Rate,0,0,,0
13,1287,TextLint,,PQ 1 Rate,Prior,TRUE,2019-11-26 13:54:23,Rate,0,0,,0
63,1790,TextLint,,PQ 2 Rate,Prior,R_1HbFnwqT2oTEpjP,"I consent, begin the study",Rate,0,0,,0
75,1287,TextLint,,PQ 2 Rate,Prior,R_3MbWogq7k6SKN9t,"I consent, begin the study",Rate,0,0,,0
125,1790,TextLint,,"{""ImportId"":""QID11_TEXT""}",Prior,5ce7f7ae2aa9590016af2ba7,There are errors in construction,Good,0,0,,0
137,1287,TextLint,,PQ 3 Good,Prior,5d150669b296b500187df8f9,It's well constructed,Good,1,1,,1
187,1790,TextLint,,PQ 4 GOOD,Prior,The avg sleep/software engineering salary axis make the graph confusing,There are errors in construction,Good,1,1,,1
199,1287,TextLint,,PQ 4 GOOD,Prior,,There are errors in construction,Good,1,1,,1
249,1790,TextLint,,PQ 5 Good,Prior,Data 2/Data 1 axis makes it confusing,It's well constructed,Good,1,1,,1
261,1287,TextLint,,PQ 5 Good,Prior,the two vertical axis dont have proper names to show what the data is about,It's well constructed,Good,1,1,,1
311,1790,TextLint,,PQ  6 Rate,Prior,,It's well constructed,Rate,0,0,,0
323,1287,TextLint,,PQ  6 Rate,Prior,,It's well constructed,Rate,0,P,X,P
373,1790,TextLint,,PQ 7 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
385,1287,TextLint,,PQ 7 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
435,1790,TextLint,,PQ 8 Zero,Prior,,There are errors in construction,Zero Axis,0,0,,0
447,1287,TextLint,,PQ 8 Zero,Prior,,There are errors in construction,Zero Axis,0,0,,0
497,1790,TextLint,,PQ 9 Zero,Prior,The bonus/monthly axis income makes the graph confusing,There are errors in construction,Zero Axis,0,0,,0
509,1287,TextLint,,PQ 9 Zero,Prior,it just doesn't look right to me.,There are errors in construction,Zero Axis,0,0,,0
559,1790,TextLint,,PQ 10 Legend,Prior,The axis should be reversed ,It's well constructed,Legend,0,0,,0
571,1287,TextLint,,PQ 10 Legend,Prior,i just dont like the construction of it its horrible,It's well constructed,Legend,1,1,,1
621,1790,TextLint,,PQ 10 Legend,Prior,,It's well constructed,Legend,0,0,,0
633,1287,TextLint,,PQ 11 Legend,Prior,,It's well constructed,Legend,1,1,,1
683,1790,TextLint,,PQ 12 Legend,Prior,,It's well constructed,Legend,0,0,,0
695,1287,TextLint,,PQ 12 Legend,Prior,,It's well constructed,Legend,0,0,,0
745,1790,TextLint,,PQ 13 Size,Prior,,There are errors in construction,Neg Size,0,0,,0
757,1287,TextLint,,PQ 13 Size,Prior,,There are errors in construction,Neg Size,0,0,,0
807,1790,TextLint,,PQ 14 Size,Prior,Too much detail (might not be necessary to include each separate week),There are errors in construction,Neg Size,0,0,,0
819,1287,TextLint,,PQ 14 Size,Prior,"it doesnt have a key to show which colour lines go with each country, or a list of countries it refers to",There are errors in construction,Neg Size,0,0,,0
869,1790,TextLint,,PQ 15 Size,Prior,Separate colours should be used for each factor to make it easier to differentiate ,It's well constructed,Neg Size,0,0,,0
881,1287,TextLint,,PQ 15 Size,Prior,it doesn't give enough info - just the fruit name and the number of,There are errors in construction,Neg Size,0,0,,0
931,1790,TextLint,,PQ 16 Color,Prior,,It's well constructed,Color,0,0,,0
943,1287,TextLint,,PQ 16 Color,Prior,Because some of the circles are half cut off on the lefthand side,It's well constructed,Color,0,0,,0
993,1790,TextLint,,PQ 17 Color,Prior,,There are errors in construction,Color,0,0,,0
1005,1287,TextLint,,PQ 17 Color,Prior,,It's well constructed,Color,0,0,,0
1055,1790,TextLint,,PQ 18 Color,Prior,Confusing system as there are too many different plots,It's well constructed,Color,0,0,,0
1067,1287,TextLint,,PQ 18 Color,Prior,,There are errors in construction,Color,0,0,,0
1117,1790,TextLint,,TQ 1 Zero,Post,Like,Like,Zero Axis,0,0,,0
1129,1287,TextLint,,TQ 1 Zero,Post,,,Zero Axis,0,0,,0
1179,1790,TextLint,,TQ 2 Good,Post,Like,Like,Good,0,0,,0
1191,1287,TextLint,,TQ 2 Good,Post,,,Good,0,0,,0
1241,1790,TextLint,,TQ 3 Good,Post,Like,There are errors in construction,Good,1,1,,1
1253,1287,TextLint,,TQ 3 Good,Post,,There are errors in construction,Good,0,0,,0
1303,1790,TextLint,,TQ 4 legend,Post,There are errors in construction,There are errors in construction,Legend,0,0,,0
1315,1287,TextLint,,TQ 4 legend,Post,It's well constructed,It's well constructed,Legend,0,0,,0
1365,1790,TextLint,,TQ 5 Color,Post,Too much information in too small a graph,It's well constructed,Color,0,0,,0
1377,1287,TextLint,,TQ 5 Color,Post,,There are errors in construction,Color,1,1,,1
1427,1790,TextLint,,TQ 6 Color,Post,,There are errors in construction,Color,0,0,,0
1439,1287,TextLint,,TQ 6 Color,Post,the axis have no names,There are errors in construction,Color,0,0,,0
1489,1790,TextLint,,TQ 7 Size,Post,,There are errors in construction,Size Neg,0,0,,0
1501,1287,TextLint,,TQ 7 Size,Post,there is no legend,There are errors in construction,Size Neg,0,0,,0
1551,1790,TextLint,,TQ 8 Zero Axis,Post,"Europe/USA colours too similar, too much information on too small a graph ",There are errors in construction,Zero Axis,0,0,,0
1563,1287,TextLint,,TQ 8 Zero Axis,Post,the circles are too close in colour,There are errors in construction,Zero Axis,0,1,X,0
1613,1790,TextLint,,TQ 9 Size,Post,Too much information included making the graph unreadable,It's well constructed,Size Neg,0,0,,0
1625,1287,TextLint,,TQ 9 Size,Post,it is too confusing with too many options and similar colours,There are errors in construction,Size Neg,1,1,,1
1675,1790,TextLint,,TQ 10 Legend,Post,,There are errors in construction,Legend,0,0,,0
1687,1287,TextLint,,TQ 10 Legend,Post,some of the lengths are negative figures,It's well constructed,Legend,1,1,,1
1737,1790,TextLint,,TQ 11 Good,Post,Too little information on too large a graph,It's well constructed,Good,1,1,,1
1749,1287,TextLint,,TQ 11 Good,Post,,There are errors in construction,Good,1,1,,1
1799,1790,TextLint,,TQ 12 Rate,Post,,It's well constructed,Rate,0,0,,0
1811,1287,TextLint,,TQ 12 Rate,Post,some of the lengths are minus ,There are errors in construction,Rate,0,0,,0
1861,1790,TextLint,,TQ 13 Zero,Post,,There are errors in construction,Zero Axis,0,0,,0
1873,1287,TextLint,,TQ 13 Zero,Post,there is no legend,It's well constructed,Zero Axis,0,0,,0
1923,1790,TextLint,,TQ 14 Legend,Post,axis does not start at 0,There are errors in construction,Legend,0,0,,0
1935,1287,TextLint,,TQ 14 Legend,Post,,It's well constructed,Legend,0,0,,0
1985,1790,TextLint,,TQ 15 color,Post,y axis does not start at 0,There are errors in construction,Color,0,0,,0
1997,1287,TextLint,,TQ 15 color,Post,,There are errors in construction,Color,0,0,,0
2047,1790,TextLint,,TQ 16 Size,Post,y axis does not start at 0,There are errors in construction,Size Neg,0,0,,0
2059,1287,TextLint,,TQ 16 Size,Post,there is no legend,There are errors in construction,Size Neg,0,0,,0
2109,1790,TextLint,,TQ 17 Rate,Post,different colours should be used to make it easier to differentiate ,There are errors in construction,Rate,0,0,,0
2121,1287,TextLint,,TQ 17 Rate,Post,there is no legend,It's well constructed,Rate,1,1,,1
2171,1790,TextLint,,TQ 18 Rate,Post,Amsterdam and Atlanta colours are too similar,It's well constructed,Rate,0,0,,0
2183,1287,TextLint,,TQ 18 Rate,Post,,There are errors in construction,Rate,0,0,,0
7,5291,TextLint,,PQ 1 Rate,Prior,TRUE,2019-11-26 14:58:19,Rate,P,P,,P
12,2151,TextLint,,PQ 1 Rate,Prior,TRUE,2019-11-26 14:07:05,Rate,0,0,,0
25,1568,TextLint,,PQ 1 Rate,Prior,TRUE,2019-11-26 13:55:55,Rate,0,0,,0
28,1598,TextLint,,PQ 1 Rate,Prior,TRUE,2019-11-26 13:56:33,Rate,0,0,,0
34,1094,TextLint,,PQ 1 Rate,Prior,TRUE,2019-11-26 13:48:24,Rate,0,0,,0
46,1427,TextLint,,PQ 1 Rate,Prior,TRUE,2019-11-26 13:54:01,Rate,0,P,X,0
47,2893,TextLint,,PQ 1 Rate,Prior,TRUE,2019-11-26 14:26:55,Rate,0,0,,0
48,1179,TextLint,,PQ 1 Rate,Prior,TRUE,2019-11-26 13:49:41,Rate,0,0,,0
57,2026,TextLint,,PQ 1 Rate,Prior,TRUE,2019-11-27 17:33:20,Rate,0,0,,0
60,2058,TextLint,,PQ 1 Rate,Prior,TRUE,2019-11-27 17:30:42,Rate,0,0,,0
69,5291,TextLint,,PQ 2 Rate,Prior,R_3kug44YZ9Z5nWr0,"I consent, begin the study",Rate,0,0,,0
74,2151,TextLint,,PQ 2 Rate,Prior,R_1IyfyKXhH8SbZ13,"I consent, begin the study",Rate,0,0,,0
87,1568,TextLint,,PQ 2 Rate,Prior,R_VVjX4DsvOaHl1PX,"I consent, begin the study",Rate,0,0,,0
90,1598,TextLint,,PQ 2 Rate,Prior,R_1fkmTdR7hPnRDvu,"I consent, begin the study",Rate,0,0,,0
96,1094,TextLint,,PQ 2 Rate,Prior,R_1hE8nIrhskc0Lqg,"I consent, begin the study",Rate,0,0,,0
108,1427,TextLint,,PQ 2 Rate,Prior,R_3EmTUmidfBaNdv7,"I consent, begin the study",Rate,0,0,,0
109,2893,TextLint,,PQ 2 Rate,Prior,R_3RekKbGKCjYTH8J,"I consent, begin the study",Rate,0,0,,0
110,1179,TextLint,,PQ 2 Rate,Prior,R_0qyJ8avB5IH6gmd,"I consent, begin the study",Rate,0,0,,0
119,2026,TextLint,,PQ 2 Rate,Prior,R_31FLSTxDQXaKPmS,"I consent, begin the study",Rate,0,0,,0
122,2058,TextLint,,PQ 2 Rate,Prior,R_42h83TV7QxvjORb,"I consent, begin the study",Rate,0,0,,0
131,5291,TextLint,,PQ 3 Good,Prior,5cc99062d918560016acf,There are errors in construction,Good,0,0,,0
136,2151,TextLint,,PQ 3 Good,Prior,5dbe9709c964f836acbe159c,It's well constructed,Good,0,0,,0
149,1568,TextLint,,PQ 3 Good,Prior,5a6b4cd2d5d4cb0001d64740,It's well constructed,Good,0,0,,0
152,1598,TextLint,,PQ 3 Good,Prior,de,It's well constructed,Good,1,1,,1
158,1094,TextLint,,PQ 3 Good,Prior,5c6693d3a3636800013e2a5b,It's well constructed,Good,0,0,,0
170,1427,TextLint,,PQ 3 Good,Prior,5781511fad1a6c00014658b7,There are errors in construction,Good,0,0,,0
171,2893,TextLint,,PQ 3 Good,Prior,5daa322a47b9d20017a2e968,There are errors in construction,Good,0,P,X,0
172,1179,TextLint,,PQ 3 Good,Prior,5c2677e6ec10810001431001,There are errors in construction,Good,0,0,,0
181,2026,TextLint,,PQ 3 Good,Prior,5d4ad488dfd8230018fd0b45,It's well constructed,Good,0,0,,0
184,2058,TextLint,,PQ 3 Good,Prior,5c66cc9246bfc200019044b8,There are errors in construction,Good,0,0,,0
193,5291,TextLint,,PQ 4 GOOD,Prior,"Both graphs should be the same, it does not make much sense that a software engineer would get more sleep with a bigger salary.",There are errors in construction,Good,0,0,,0
198,2151,TextLint,,PQ 4 GOOD,Prior,,There are errors in construction,Good,1,1,,1
211,1568,TextLint,,PQ 4 GOOD,Prior,,It's well constructed,Good,0,0,,0
214,1598,TextLint,,PQ 4 GOOD,Prior,,It's well constructed,Good,1,1,,1
220,1094,TextLint,,PQ 4 GOOD,Prior,,It's well constructed,Good,1,1,,1
232,1427,TextLint,,PQ 4 GOOD,Prior,average salary should replace the year on the x axis,There are errors in construction,Good,1,1,,1
233,2893,TextLint,,PQ 4 GOOD,Prior,There should be one Y axis either representing the salary or sleep,It's well constructed,Good,1,1,,1
234,1179,TextLint,,PQ 4 GOOD,Prior,3 Things being graphed on 2 axis.,There are errors in construction,Good,1,1,,1
243,2026,TextLint,,PQ 4 GOOD,Prior,,It's well constructed,Good,1,1,,1
246,2058,TextLint,,PQ 4 GOOD,Prior,The year and avg sleep axis should be switched and it will become more readable,There are errors in construction,Good,1,1,,1
255,5291,TextLint,,PQ 5 Good,Prior,I don't know what data 1 or 2 are.,There are errors in construction,Good,1,1,,1
260,2151,TextLint,,PQ 5 Good,Prior,doesnt state what the lines represent just data otherwise its a clear graph,It's well constructed,Good,1,1,,1
273,1568,TextLint,,PQ 5 Good,Prior,,It's well constructed,Good,0,0,,0
276,1598,TextLint,,PQ 5 Good,Prior,,It's well constructed,Good,1,1,,1
282,1094,TextLint,,PQ 5 Good,Prior,,It's well constructed,Good,1,1,,1
294,1427,TextLint,,PQ 5 Good,Prior,There should only be one data point on the y axes. ,There are errors in construction,Good,1,1,,1
295,2893,TextLint,,PQ 5 Good,Prior,,It's well constructed,Good,1,1,,1
296,1179,TextLint,,PQ 5 Good,Prior,3 Variables on 2d axis,There are errors in construction,Good,1,1,,1
305,2026,TextLint,,PQ 5 Good,Prior,,There are errors in construction,Good,0,0,,0
