Foreign Key,Actual Chart Error,Response,Error Identified (Coder 1),TODO,544,LEFT OFF,15,FLAG
636,Legend,No legend,,,,,,
637,Legend,,1,,,,,
638,Legend,no legend of colors,0,,,,,
639,Legend,,1,,,,,
640,Legend,,0,,,,,
641,Legend,,1,,,,,
642,Legend,y axis increase at different rates ,1,,,,,
643,Legend,,1,,,,,
644,Legend,different types of measure,,,,,,
645,Legend,,1,,,,,
646,Legend,,0,,,,,
647,Legend,,0,,,,,
648,Legend,values in y axis change at different rates ,P,,,,,
649,Legend,The lines are too close together in the graph,1,,,,,
650,Legend,Two separate data fields,1,,,,,
651,Legend,There is no graph,1,,,,,
652,Legend,,0,,,,,
653,Legend,,1,,,,,
654,Legend,y axis doesn't start at 0,1,,,,,
655,Legend,,1,,,,,
656,Legend,"Graph is ok, price of what?",,,,,,
657,Legend,There is no key,,,,,,
659,Legend,,1,,,,,
660,Legend,No legend,0,,,,,
661,Legend,,0,,,,,
662,Legend,,1,,,,,
663,Legend,,1,,,,,
664,Legend,The 2 colours of green are too similar to tell them apart,,,,,,
665,Legend,,0,,,,,
666,Legend,Colours too similar for Amsterdam and Atlanta,0,,,,,
667,Legend,a couple of the lines are too close together in color,0,,,,,
668,Legend,Line colors too similar,0,,,,,
669,Legend,The circles are difficult to interpret,,,,,,
670,Legend,,1,,,,,
671,Legend,,0,,,,,
672,Legend,,0,,,,,
673,Legend,,0,,,,,
674,Legend,Circles too large for detailed analysis,1,,,,,
675,Legend,,1,,,,,
676,Legend,,1,,,,,
677,Legend,,0,,,,,
678,Legend,the two y axis increase at different rates,1,,,,,
679,Legend,,0,,,,,
680,Legend,The Y axis have different values,,,,,,
681,Legend,,0,,,,,
682,Legend,,1,,,,,
683,Legend,,0,,,,,
684,Legend,Y values change at different rates,1,,,,,
685,Legend,,0,,,,,
686,Legend,Two different scales,0,,,,,
687,Legend,,0,,,,,
688,Legend,,0,,,,,
689,Legend,,0,,,,,
690,Legend,,1,,,,,
691,Legend,,0,,,,,
692,Legend,the line represented show a different set of values,0,,,,,
693,Legend,Senseless,0,,,,,
694,Legend,,0,,,,,
695,Legend,,0,,,,,
696,Legend,Missing colors legend,,,,,,
697,Legend,Colors legend of the different states is missing,,,,,,
698,Legend,"Color distribution is senseless: it does not respect an y value or type of fruit,",,,,,,
699,Legend,,0,,,,,
700,Legend,,0,,,,,
701,Legend,the (0;0) point is should be common for both graphs,0,,,,,
702,Legend,,0,,,,,
703,Legend,the origin of the axis does not coincide.,,,,,,
704,Legend,,1,,,,,
705,Legend,,1,,,,,
706,Legend,difficult to choose among the colors,0,,,,,
708,Legend,,0,,,,,
709,Legend,color too much similar,0,,,,,
710,Legend,its overly confusing,1,,,,,
711,Legend,Confusing,,,,,,
712,Legend,the x scale is not uniform,0,,,,,
713,Legend,negative values are misrepresented,0,,,,,
715,Legend,,0,,,,,
716,Legend,,0,,,,,
717,Legend,missing legend,0,,,,,
718,Legend,Senseless,,,,,,
719,Legend,,0,,,,,
720,Legend,,P,,,,,
721,Legend,different rate of y axes,0,,,,,
722,Legend,,0,,,,,
723,Legend,,0,,,,,
724,Legend,,0,,,,,
725,Legend,It's difficult to understand,,,,,,
726,Legend,,0,,,,,
727,Legend,,0,,,,,
728,Legend,,0,,,,,
729,Legend,,0,,,,,
730,Legend,,0,,,,,
731,Legend,Very dificult to understand,,,,,,
732,Legend,It's difficult to understand,,,,,,
733,Legend,,0,,,,,
734,Legend,,0,,,,,
735,Legend,Don't understand,,,,,,
736,Legend,Missing infos,,,,,,
737,Legend,Dificult to read,0,,,,,
738,Legend,,0,,,,,
739,Legend,Itsnotclear,,,,,,
740,Legend,,0,,,,,
741,Legend,,0,,,,,
742,Legend,Very dificult to see the infos,,,,,,
743,Legend,,0,,,,,
744,Legend,,0,,,,,
745,Neg Size,Don't understand the graph,0,,,,,
746,Neg Size,Way too many colours,0,,,,,
747,Neg Size,,0,,,,,
748,Neg Size,Very complicated,0,,,,,
749,Neg Size,,0,,,,,
750,Neg Size,,0,,,,,
751,Neg Size,,0,,,,,
752,Neg Size,,0,,,,,
753,Neg Size,,0,,,,,
754,Neg Size,,0,,,,,
755,Neg Size,,0,,,,,
756,Neg Size,,0,,,,,
757,Neg Size,,0,,,,,
758,Neg Size,,0,,,,,
759,Neg Size,The avg sleep/software engineering salary axis make the graph confusing,0,,,,,
760,Neg Size,,0,,,,,
761,Neg Size,Data 2/Data 1 axis makes it confusing,0,,,,,
762,Neg Size,the two vertical axis dont have proper names to show what the data is about,,,,,,
763,Neg Size,,1,,,,,
764,Neg Size,,0,,,,,
765,Neg Size,,0,,,,,
766,Neg Size,,0,,,,,
767,Neg Size,,0,,,,,
768,Neg Size,,0,,,,,
769,Neg Size,The bonus/monthly axis income makes the graph confusing,,,,,,
770,Neg Size,it just doesn't look right to me.,0,,,,,
771,Neg Size,The axis should be reversed ,0,,,,,
772,Neg Size,i just dont like the construction of it its horrible,,,,,,
773,Neg Size,,0,,,,,
774,Neg Size,,0,,,,,
775,Neg Size,,0,,,,,
776,Neg Size,,0,,,,,
777,Neg Size,,0,,,,,
778,Neg Size,,0,,,,,
779,Neg Size,Too much detail (might not be necessary to include each separate week),0,,,,,
780,Neg Size,"it doesnt have a key to show which colour lines go with each country, or a list of countries it refers to",0,,,,,
781,Neg Size,Separate colours should be used for each factor to make it easier to differentiate ,0,,,,,
782,Neg Size,it doesn't give enough info - just the fruit name and the number of,0,,,,,
783,Neg Size,,0,,,,,
784,Neg Size,Because some of the circles are half cut off on the lefthand side,0,,,,,
785,Neg Size,,0,,,,,
786,Neg Size,,0,,,,,
787,Neg Size,Confusing system as there are too many different plots,,,,,,
788,Neg Size,,0,,,,,
789,Neg Size,,0,,,,,
790,Neg Size,two of the lines are basically the same colour so you cannot differentiate between them,0,,,,,
791,Neg Size,,0,,,,,
792,Neg Size,,0,,,,,
793,Neg Size,,0,,,,,
794,Neg Size,,0,,,,,
795,Neg Size,y axis does not start at 0,0,,,,,
796,Neg Size,the axis does not start from 0,0,,,,,
797,Neg Size,Too much information in too small a graph,0,,,,,
798,Neg Size,,0,,,,,
799,Neg Size,,0,,,,,
800,Neg Size,the axis have no names,0,,,,,
801,Neg Size,,0,,,,,
802,Neg Size,there is no legend,0,,,,,
803,Neg Size,"Europe/USA colours too similar, too much information on too small a graph ",0,,,,,
804,Neg Size,the circles are too close in colour,0,,,,,
805,Neg Size,colours are too similar,0,,,,,
806,Neg Size,too many movies are measured and the graph is too tiny to get anything meaningful. Too compressed. And what does :binned: mean?,0,,,,,
807,Neg Size,results are off the graph,0,,,,,
808,Neg Size,I don't understand it at all - what is being measured here??,,,,,,
809,Neg Size,Too little information on too large a graph,,,,,,
810,Neg Size,,0,,,,,
811,Neg Size,,0,,,,,
812,Neg Size,some of the lengths are minus ,0,,,,,
813,Neg Size,,0,,,,,
814,Neg Size,there is no legend,,,,,,
815,Neg Size,axis does not start at 0,,,,,,
816,Neg Size,,0,,,,,
817,Neg Size,y axis does not start at 0,,,,,,
818,Neg Size,,0,,,,,
819,Neg Size,y axis does not start at 0,,,,,,
820,Neg Size,there is no legend,,,,,,
821,Neg Size,different colours should be used to make it easier to differentiate ,0,,,,,
822,Neg Size,there is no legend,,,,,,
823,Neg Size,Amsterdam and Atlanta colours are too similar,0,,,,,
824,Neg Size,,0,,,,,
825,Neg Size,,0,,,,,
826,Neg Size,there is a minus on the legend,,,,,,
827,Neg Size,,0,,,,,
828,Neg Size,,0,,,,,
829,Neg Size,,0,,,,,
830,Neg Size,,0,,,,,
831,Neg Size,"Both graphs should be the same, it does not make much sense that a software engineer would get more sleep with a bigger salary.",0,,,,,
832,Neg Size,,0,,,,,
833,Neg Size,,0,,,,,
834,Neg Size,,0,,,,,
835,Neg Size,,0,,,,,
836,Neg Size,average salary should replace the year on the x axis,0,,,,,
837,Neg Size,There should be one Y axis either representing the salary or sleep,0,,,,,
838,Neg Size,3 Things being graphed on 2 axis.,,,,,,
839,Neg Size,,0,,,,,
840,Neg Size,The year and avg sleep axis should be switched and it will become more readable,,,,,,
841,Neg Size,I don't know what data 1 or 2 are.,,,,,,
842,Neg Size,doesnt state what the lines represent just data otherwise its a clear graph,,,,,,
843,Neg Size,,0,,,,,
844,Neg Size,,0,,,,,
845,Neg Size,,0,,,,,
846,Neg Size,There should only be one data point on the y axes. ,0,,,,,
847,Neg Size,,0,,,,,
848,Neg Size,3 Variables on 2d axis,0,,,,,
849,Neg Size,,0,,,,,
850,Neg Size,The data axes should be clearer what is it.,0,,,,,
851,Neg Size,I don't know what the different colour of the colour represent.,,,,,,
852,Neg Size,,0,,,,,
853,Neg Size,,0,,,,,
854,Neg Size,,0,,,,,
855,Neg Size,,0,,,,,
856,Neg Size,The key doesn't show what the clusters are.,0,,,,,
857,Neg Size,,0,,,,,
858,Neg Size,Scale not well chosen - data clustered about the end but no data for the first quarter of graph.,0,,,,,
859,Neg Size,too much going on in it,,,,,,
860,Neg Size,Its very blurred becasue of the dots and the information is hardly readable.,0,,,,,
861,Neg Size,,0,,,,,
862,Neg Size,,0,,,,,
863,Neg Size,Jan doesn't seem to match the first tick mark,0,,,,,
864,Neg Size,,0,,,,,
865,Neg Size,,0,,,,,
866,Neg Size,,0,,,,,
867,Neg Size,,0,,,,,
868,Neg Size,Unequal spacing on X axis,0,,,,,
869,Neg Size,,0,,,,,
870,Neg Size,,0,,,,,
871,Neg Size,Major Genre should be shortened into bigger Genre's eg Action/Adventure.,0,,,,,
872,Neg Size,,0,,,,,
873,Neg Size,What does null mean and why is it a category?,,,,,,
874,Neg Size,,0,,,,,
875,Neg Size,,P,,,,,
876,Neg Size,,0,,,,,
877,Neg Size,,0,,,,,
878,Neg Size,,0,,,,,
879,Neg Size,,0,,,,,
880,Neg Size,,0,,,,,
881,Neg Size,,0,,,,,
882,Neg Size,,0,,,,,
883,Neg Size,,0,,,,,
884,Neg Size,,0,,,,,
885,Neg Size,The key does not need to detail bonus and monthly income,,,,,,
886,Neg Size,Hard to understand data points.,,,,,,
887,Neg Size,,0,,,,,
888,Neg Size,"Same as last one, 3 things being graphed on 2d axis makes it hard to understand",0,,,,,
889,Neg Size,,0,,,,,
890,Neg Size,,0,,,,,
891,Neg Size,Need more information for below 20 workers.,,,,,,
892,Neg Size,could start the axis at a lower point ,0,,,,,
893,Neg Size,The axes don't seem to be the right scale since only part of the data is shown,,,,,,
894,Neg Size,,0,,,,,
895,Neg Size,,0,,,,,
896,Neg Size,The number of workers starts at 20.,0,,,,,
897,Neg Size,,0,,,,,
898,Neg Size,Bad choice of scale and starting point.,0,,,,,
899,Neg Size,,0,,,,,
900,Neg Size,The axes needs to be switched.,,,,,,
902,Neg Size,,0,,,,,
903,Neg Size,Hard to tell the tick mark corresponding to Jan 2000,,,,,,
904,Neg Size,,0,,,,,
905,Neg Size,Could perhaps of detailed what 'count' is,0,,,,,
906,Neg Size,,0,,,,,
907,Neg Size,,0,,,,,
908,Neg Size,Format of year-month not followed on X-axis,0,,,,,
909,Neg Size,,0,,,,,
910,Neg Size,,0,,,,,
911,Neg Size,There are more films made in 2000 and rating done prior to 2000 are not representative of the ratings as there is less places and less people to leave or give a rating.,,,,,,
912,Neg Size,the data is too colated together would beneift from dates being more spread out,0,,,,,
913,Neg Size,,0,,,,,
914,Neg Size,The dots look very confusing in the corner ,0,,,,,
915,Neg Size,It's very difficult to interpret anything from this,0,,,,,
916,Neg Size,"Due to the design of the data points, it is hard to visualise because it is congealed. ",0,,,,,
917,Neg Size,,0,,,,,
918,Neg Size,Can't read any of the data near the end.,0,,,,,
919,Neg Size,It's looks a mess,,,,,,
920,Neg Size,The circles are extremely blurred and unreadable.,0,,,,,
921,Neg Size,The graph shows the Median of yield between 1931 and 1932 but does not have a index to say what the different coloured lines mean.,,,,,,
922,Neg Size,,0,,,,,
923,Neg Size,,0,,,,,
924,Neg Size,,0,,,,,
925,Neg Size,Years could have been extended to months,0,,,,,
926,Neg Size,There is no key to indicate what the yields are,0,,,,,
927,Neg Size,,0,,,,,
928,Neg Size,,0,,,,,
929,Neg Size,,0,,,,,
930,Neg Size,,0,,,,,
931,Color,I would expect each country to have around the same number of flu cases at week 1 as week 52.,,,,,,
932,Color,doesnt state what the diffrent lines represent but otherwise clear,1,,,,,
933,Color,Missing a legend,1,,,,,
934,Color,,0,,,,,
935,Color,No key for the different colours,1,,,,,
936,Color,There is no key for what country each line represents.,1,,,,,
937,Color,,0,,,,,
938,Color,The numbers along the X-axis are hard to read as they are tilted.,1,,,,,
939,Color,,1,,,,,
940,Color,"The ""weeks"" should be on the Y axis.",,,,,,
941,Color,The graph does not show whether it is per fruit or weight of fruit.,1,,,,,
942,Color,no explanation for the different colours used,,,,,,
943,Color,,0,,,,,
944,Color,,0,,,,,
945,Color,The order of fruits could have been better presented.,,,,,,
946,Color,Unique colours are not used for each bar.,0,,,,,
947,Color,,0,,,,,
948,Color,,0,,,,,
949,Color,,1,,,,,
950,Color,,0,,,,,
951,Color,Snow has been entered incorrectly for 2013-2015 and all data has been entered into 2012.,0,,,,,
952,Color,,1,,,,,
953,Color,,1,,,,,
954,Color,,0,,,,,
955,Color,Examples not fully included in graph,1,,,,,
956,Color,The graph's data points are extremely hard to follow.,,,,,,
957,Color,Data representation in graph is wrongly done.,1,,,,,
958,Color,,1,,,,,
959,Color,a bit confusing,,,,,,
960,Color,,0,,,,,
961,Color,The rate of change index is incorrect and March and April have been input incorrectly.,1,,,,,
962,Color,dont thin the use of circles for plots is a good way of showing data its not clear where the data sits,1,,,,,
963,Color,,1,,,,,
964,Color,,0,,,,,
965,Color,,1,,,,,
966,Color,It is a poor way of visualising change between months.,,,,,,
967,Color,,0,,,,,
968,Color,Missing October and November,1,,,,,
969,Color,,1,,,,,
970,Color,This dot symbol method are not good because when are more data it becames blurred.,0,,,,,
971,Color,"I do not understand what this graph is trying to tell me, there is too much information being used, this graph would be better represented with two graphs.",,,,,,
972,Color,not clear what data is being represented in dots and appears that there are a lot of outliers compared to the majority whih are grouped,,,,,,
973,Color,,0,,,,,
974,Color,,0,,,,,
975,Color,,0,,,,,
976,Color,The ending cash key has no apparent relationship to party affilation.,0,,,,,
977,Color,,1,,,,,
978,Color,Negative number not below X axis,,,,,,
979,Color,too much going on at the 0 marker,,,,,,
980,Color,"This graph is not transparent enough, and dots are feels very blurred",P,,,,,
981,Color,y axis needs to be represented better.,1,,,,,
982,Color,2 pieces of data coloured the same on actual graph you cant differentiate,1,,,,,
983,Color,It's hard to tell where the labels match the tick marks,,,,,,
984,Color,The lines are very confusing ,1,,,,,
985,Color,date (month-year),0,,,,,
986,Color,,1,,,,,
987,Color,,0,,,,,
988,Color,Format of (year-month) not followed on X axis,1,,,,,
989,Color,,1,,,,,
990,Color,,0,,,,,
991,Color,There are errors with the DEM party data.,1,,,,,
992,Color,,1,,,,,
993,Color,,0,,,,,
994,Color,,0,,,,,
995,Color,There's a poor choice of x-axis numbers,0,,,,,
996,Color,There seems to be no relationship between the X and Y axis.,0,,,,,
997,Color,In one of the data the beginning cash is in the negative part.,,,,,,
998,Color,Negative number not below X axis,0,,,,,
999,Color,there are too many dots on the 0 mark,0,,,,,
1000,Color,"The dots are very blurred, it should be a column graph",,,,,,
1001,Color,"The Sum of yield shows the Agricultural products of all the sites, apart from Waseca it is very hard to separate the yield for the rest of the sites.",,,,,,
1002,Color,not clear what the data represents and 2 diffrent pieces of data are colourd the same,0,,,,,
1003,Color,Two cities are given the same color,,,,,,
1004,Color,,0,,,,,
1005,Color,The colour coding is off with regards to the sum of yield,0,,,,,
1006,Color,,0,,,,,
1007,Color,legends should be replaced with agricultural products,,,,,,
1008,Color,,0,,,,,
1009,Color,too confusing ,,,,,,
1010,Color,,0,,,,,
1011,Color,Legend not clear.,1,,,,,
1012,Color,only one piece of data is on the graph,,,,,,
1013,Color,Axes aren't picked correctly to show the data,,,,,,
1014,Color,,0,,,,,
1015,Color,,0,,,,,
1016,Color,y and x axes do not start at 0,,,,,,
1017,Color,not enough data available,,,,,,
1018,Color,Graph doesn't contain v1 and v2,0,,,,,
1019,Color,doesn't begin a 0,,,,,,
1020,Color,,0,,,,,
1021,Color,Hard to differentiate  origins on graph,,,,,,
1022,Color,cant differentiate between japan and usa where theree is a lot of data,1,,,,,
1023,Color,Colors are too similar,,,,,,
1024,Color,You can’t tell where each shape is as they merge together ,0,,,,,
1025,Color,Difficult to identify the three subjects within graph,0,,,,,
1026,Color,The data points are too close together.,,,,,,
1027,Color,,0,,,,,
1028,Color,,0,,,,,
1029,Color,,0,,,,,
1030,Color,To many colors and blurred.,0,,,,,
1031,Color,No information on axis or legend.,0,,,,,
1032,Color,no key or sufficient lables,0,,,,,
1033,Color,,0,,,,,
1034,Color,,1,,,,,
1035,Color,,0,,,,,
1036,Color,,0,,,,,
1037,Color,Axis not defined,,,,,,
1038,Color,,0,,,,,
1039,Color,,1,,,,,
1040,Color,,0,,,,,
1041,Color,No Legend.,0,,,,,
1042,Color,no key and data isnt clear on lower imdb data,,,,,,
1043,Color,Legend is missing,P,,,,,
1044,Color,,0,,,,,
1045,Color,,0,,,,,
1046,Color,There is no legend.,,,,,,
1047,Color,No legend is given for the graph.,,,,,,
1048,Color,No legend,0,,,,,
1049,Color,,0,,,,,
1050,Color,,0,,,,,
1051,Color,legend colours too similar.,0,,,,,
1052,Color,similar colours used,,,,,,
1053,Color,The colors are too similar,0,,,,,
1054,Color,Too merged together ,1,,,,,
1055,Color,Europe and Japan are too similar in colour,,,,,,
1056,Color,The colours for USA and Europe are too similar.,,,,,,
1057,Color,Error in the legend part.,0,,,,,
1058,Color,,P,,,,,
1059,Color,colours too similar,,,,,,
1060,Color,Color choice are confusing and maked the graph blurred,1,,,,,
1061,Color,Too many keys on one graph.,,,,,,
1062,Color,"Colours are too similar, too much information and it's difficult to read.",,,,,,
1063,Color,The x-axis does not start at zero,,,,,,
1064,Color,Too many data series data is unclear,,,,,,
1065,Color,Too many different values with different colors make it difficult to read,,,,,,
1066,Color,,0,,,,,
1067,Color,Too much data for one graph.,,,,,,
1068,Color,,1,,,,,
1069,Color,Needs to have finer intervals to improve the bottom mess. Also some colours are too similar and there may just simply be too many things on this graph.,0,,,,,
1070,Color,TQ 6 Color Text,,,,,,
1071,Color,A box overlaps on the graph.,,,,,,
1072,Color,,0,,,,,
1073,Color,there are negative values  associated with the size encodings,1,,,,,
1074,Color,there are negative values for the encoding ,,,,,,
1075,Color,,0,,,,,
1076,Color,Length can't be negative,1,,,,,
1077,Color,Colors are too similar,,,,,,
1078,Color,negative value are misrepresented.,,,,,,
1079,Color,,1,,,,,
1080,Color,TQ 7 Size Text,0,,,,,
1081,Color,to difficult to gauge income.,,,,,,
1082,Color,no need for the higher incomes,1,,,,,
1083,Color,It uses a log scale that's not clearly defined,1,,,,,
1084,Color,Dots are too small ,1,,,,,
1085,Color,,0,,,,,
1086,Color,Y axes does not start at zero.,,,,,,
1087,Color,,0,,,,,
1088,Color,Scale of Y axis keeps changing,,,,,,
1089,Color,confusing as they are the same colour,,,,,,
1090,Color,Similar color and dots are blurred.,0,,,,,
1091,Color,Y-axis not named correctly.,,,,,,
1092,Color,,1,,,,,
1093,Color,Uses negative values,,,,,,
1094,Color,,0,,,,,
1095,Color,Difficult to interpret anything,,,,,,
1096,Color,There is a length legend for data that does not appear on the graph.,1,,,,,
1097,Color,,0,,,,,
1098,Color,Length can't be negative,,,,,,
1099,Color,,0,,,,,
1100,Color,,0,,,,,
1101,Color,no legend.,,,,,,
1102,Color,,0,,,,,
1103,Color,Legend is missing,0,,,,,
1104,Color,,1,,,,,
1105,Color,,0,,,,,
1106,Color,There is no legend.,,,,,,
1107,Color,No instruction given for the color in the bars.,,,,,,
1108,Color,No legend,0,,,,,
1109,Color,,0,,,,,
1110,Color,,0,,,,,
1111,Color,,0,,,,,
1112,Color,,0,,,,,
1113,Color,The y-axes change at different rates,0,,,,,
1114,Color,Doesn’t start at 0 ,,,,,,
1115,Color,,1,,,,,
1116,Color,The y axes change at different rates.,,,,,,
1117,Zero Axis,,0,,,,,
1118,Zero Axis,,0,,,,,
1119,Zero Axis,doesn't start at 0,,,,,,
1120,Zero Axis,,0,,,,,
1121,Zero Axis,,0,,,,,
1122,Zero Axis,,0,,,,,
1123,Zero Axis,The y-axes change at different rates,0,,,,,
1124,Zero Axis,Doesn’t start at 0,0,,,,,
1125,Zero Axis,,0,,,,,
1126,Zero Axis,The y axes change at different rates.,1,,,,,
1127,Zero Axis,,1,,,,,
1128,Zero Axis,Y axis have different rates of change,1,,,,,
1129,Zero Axis,doesn't begin at 0,,,,,,
1130,Zero Axis,Colors are too similar.,0,,,,,
1131,Zero Axis,x-axis doesn't start at zero.,0,,,,,
1132,Zero Axis,theres no key but otherwise ok,,,,,,
1133,Zero Axis,Legend is missing,0,,,,,
1134,Zero Axis,,0,,,,,
1135,Zero Axis,,0,,,,,
1136,Zero Axis,,1,,,,,
1137,Zero Axis,,0,,,,,
1138,Zero Axis,Y axis doesn't start at 0,0,,,,,
1139,Zero Axis,doesn't start at 0,0,,,,,
1140,Zero Axis,,0,,,,,
1141,Zero Axis,No legend,1,,,,,
1142,Zero Axis,no key,1,,,,,
1143,Zero Axis,Legend is missing,,,,,,
1144,Zero Axis,,0,,,,,
1145,Zero Axis,There is no sign if the legend,0,,,,,
1146,Zero Axis,there is no legend,0,,,,,
1147,Zero Axis,No explanation for the use of different color circles,0,,,,,
1148,Zero Axis,No legend,0,,,,,
1149,Zero Axis,,0,,,,,
1150,Zero Axis,the axes needs to be switched.,0,,,,,
1151,Zero Axis,"Y axis should show a whole year, legend colour to similar.",,,,,,
1152,Zero Axis,,0,,,,,
1153,Zero Axis,Colors are too similar,,,,,,
1154,Zero Axis,Overlapping lines look too muddled ,1,,,,,
1155,Zero Axis,,0,,,,,
1156,Zero Axis,,0,,,,,
1157,Zero Axis,,0,,,,,
1158,Zero Axis,Months not ordered,0,,,,,
1159,Zero Axis,colours too similar,,,,,,
1160,Zero Axis,"The colors should be different, the blue and green are similar color category.",,,,,,
1161,Zero Axis,not enough months.,0,,,,,
1162,Zero Axis,,1,,,,,
1163,Zero Axis,"Negative values are used, colors are too similar.",,,,,,
1164,Zero Axis,,0,,,,,
1165,Zero Axis,The months are all muddled,1,,,,,
1166,Zero Axis,There is data on the legend that does not appear on the graph.,1,,,,,
1167,Zero Axis,,0,,,,,
1168,Zero Axis,No unit given for temperature,1,,,,,
1169,Zero Axis,,1,,,,,
1170,Zero Axis,,0,,,,,
1171,Zero Axis,Legend colours incorrect,0,,,,,
1172,Zero Axis,,0,,,,,
1173,Zero Axis,y-axes change at different rates,1,,,,,
1174,Zero Axis,,0,,,,,
1175,Zero Axis,,0,,,,,
1176,Zero Axis,The y axes change at different rates.,,,,,,
1177,Zero Axis,No legends is given,0,,,,,
1178,Zero Axis,,1,,,,,
1179,Good,,0,,,,,
1180,Good,,0,,,,,
1181,Good,,0,,,,,
1182,Good,,0,,,,,
1183,Good,The y-axes change at different rates,,,,,,
1184,Good,,1,,,,,
1185,Good,,1,,,,,
1186,Good,,1,,,,,
1187,Good,,1,,,,,
1188,Good,Y axis have different rates of change,0,,,,,
1189,Good,,1,,,,,
1190,Good,,1,,,,,
1191,Good,10 years is too big a gap when there are changes in between,0,,,,,
1192,Good,,0,,,,,
1193,Good,,0,,,,,
1194,Good,"If using this gap method, make lines to see what is where",0,,,,,
1195,Good,,1,,,,,
1196,Good,,1,,,,,
1197,Good,"Start with 40 years, not 20",,,,,,
1198,Good,"""life_expect"" axis should have a more presentable title",0,,,,,
1199,Good,x axis does not start at 0,0,,,,,
1200,Good,,0,,,,,
1201,Good,The left axis should have a more presentable title and could have a break between zero and 5,,,,,,
1202,Good,,1,,,,,
1203,Good,,0,,,,,
1204,Good,,1,,,,,
1205,Good,Different colors can be used for different genre,0,,,,,
1206,Good,,0,,,,,
1207,Good,"The intervals in the ""years at company"" should be equal. Left axis should have the title in the same position of the right one",0,,,,,
1208,Good,"On x-axis the interval between 0 and 5 is not evenly marked as the other intervals, also there should only be one Y-axis whereas here there is also a y-axis named monthly income.",0,,,,,
1209,Good,too much empty space on both sides,0,,,,,
1210,Good,Better distribution of the data could be achieved by readjusting the 2 axis,0,,,,,
1211,Good,numbers on both the axes could be reduced so there the data lines are represented clearly.,0,,,,,
1212,Good,Too much on the count and crowded on the date,,,,,,
1213,Good,Count axis should start maybe at zero so that all the data is shown,0,,,,,
1214,Good,data for finance line after Jan 2000 is falling below the line of x axis so it is not represented correctly.,,,,,,
1215,Good,how can you even read it with everything jammed together,,,,,,
1216,Good,,0,,,,,
1217,Good,"y-axis should start at 0 becuase some data points are going below the line, same for x-axis as data points for before 1940 is not well represented.",,,,,,
1218,Good,Shorter median and smaller gaps than 10s,0,,,,,
1219,Good,,0,,,,,
1220,Good,,0,,,,,
1221,Good,"too much information overlaps, try a different type of graph",,,,,,
1222,Good,Lacks left axis title and there is no need for all the numbers in the week axis,,,,,,
1223,Good,legends explaning the data lines are missing.,,,,,,
1225,Good,,1,,,,,
1226,Good,colors for bars of apples and bananas should be different.,0,,,,,
1227,Good,make it bigger so nothing is cut off,,,,,,
1228,Good,The 2015 point is cut,0,,,,,
1229,Good,The y-axis does not start at 0 and the data points on 2012 are not clearly visible (half circles) so 2012 should be where 2013 is on the y-axis.,0,,,,,
1230,Good,"Don't like the dot size to represent different things, use colors or a different type of graph",0,,,,,
1231,Good,,0,,,,,
1232,Good,,1,,,,,
1233,Good,too much jammed together for beginning cash,,,,,,
1234,Good,More presentable titles and could have a better distribution of the data by readjusting the axis range,0,,,,,
1235,Good,Data points at the 0 line are on the y axis line.,0,,,,,
1236,Good,Date could be spread out a bit more,0,,,,,
1237,Good,,0,,,,,
1238,Good,"colors for legends of Agriculture and Information are similar, they should have different colors.",,,,,,
1239,Good,,1,,,,,
1240,Good,"Could have a better distribution of the data in the space, by introducing a break between 20k and 30k",0,,,,,
1241,Good,Both the axes should start at 0 so that the data points on 0 should be represented properly instead of on the axes line.,,,,,,
1242,Good,,0,,,,,
1243,Good,Sum of yield axis should finish at the 250 value,,,,,,
1244,Good,,1,,,,,
1245,Good,Doesn't start at 0,0,,,,,
1246,Good,Both axis should start on zero,,,,,,
1247,Good,,1,,,,,
1248,Good,Confusing as hell,,,,,,
1249,Good,,0,,,,,
1250,Good,,1,,,,,
1251,Good,,0,,,,,
1252,Good,No legend,0,,,,,
1253,Good,legends and labels are missing,0,,,,,
1254,Good,"Y axis needs to be broken down more, every 200 is too far spread",,,,,,
1255,Good,"No colour legend, IMDB axis should start on zero",,,,,,
1256,Good,legends are missing,,,,,,
1257,Good,"Colors too similar, data all jammed in one area",0,,,,,
1258,Good,"Bad choice of colours, very similar",0,,,,,
1259,Good,colors are too similar,0,,,,,
1260,Good,Too much information shoved into one graph,,,,,,
1261,Good,it is too confusing with too many options and similar colours,0,,,,,
1262,Good,Colours are too similar ,0,,,,,
1263,Good,Areas showing negative values,,,,,,
1264,Good,some of the lengths are negative figures,0,,,,,
1265,Good,,1,,,,,
1266,Good,So big the data is jammed into a small area and the rest is wasted,0,,,,,
1267,Good,axis should start on zero,0,,,,,
1268,Good,,0,,,,,
1269,Good,Negative numbers,,,,,,
1270,Good,Circles assigned to negative values,0,,,,,
1271,Good,negative encodings in legends,0,,,,,
1272,Good,"Could break down Y axis a bit more, too widely spaced",1,,,,,
1273,Good,Lacks the legend,0,,,,,
1274,Good,legends are missing,0,,,,,
1275,Good,Y axis different from other Y axis,0,,,,,
1276,Good,"Axis evolve at different rates, should start on zero",0,,,,,
1277,Good,the 2 y axes do not change at the same rate,,,,,,
1278,Good,Y axis are both different,0,,,,,
1279,Good,Axis change at different rates and should start on zero,0,,,,,
